product,date,sales
⛄  Анфер,Oct 01, 2018,0
🍀  Шишке,Oct 01, 2018,0
🚬  Специи,Oct 01, 2018,0
🚑  Альфач,Oct 01, 2018,0
🚑  ЗеленыйЭльф,Oct 01, 2018,0
🚑  СинийЭльф,Oct 01, 2018,0
🚑  Метс-рац,Oct 01, 2018,0
💊  Кола,Oct 01, 2018,0
💊  Ferrari,Oct 01, 2018,0
⛄  АнфРозовый,Oct 01, 2018,0
🚬  ШишБигДевил,Oct 01, 2018,0
🚑  СКСиниеКрис,Oct 01, 2018,0
🚑  АльфачЖелтый,Oct 01, 2018,0
🚑  АльфачФиолетовый,Oct 01, 2018,0
💊  xVersace,Oct 01, 2018,0
🚬  БитоеШиш,Oct 01, 2018,0
🚑  СКЖелтыйКрис,Oct 01, 2018,0
🚑  АльфачБелый,Oct 01, 2018,0
🚬  Сканк24Т,Oct 01, 2018,0
🚑  СККрасныйКрис,Oct 01, 2018,0
🚬  БитыеШишПлан,Oct 01, 2018,0
⛄  Анфер,Oct 02, 2018,0
🍀  Шишке,Oct 02, 2018,0
🚬  Специи,Oct 02, 2018,0
🚑  Альфач,Oct 02, 2018,0
🚑  ЗеленыйЭльф,Oct 02, 2018,0
🚑  СинийЭльф,Oct 02, 2018,0
🚑  Метс-рац,Oct 02, 2018,0
💊  Кола,Oct 02, 2018,0
💊  Ferrari,Oct 02, 2018,0
⛄  АнфРозовый,Oct 02, 2018,0
🚬  ШишБигДевил,Oct 02, 2018,0
🚑  СКСиниеКрис,Oct 02, 2018,0
🚑  АльфачЖелтый,Oct 02, 2018,0
🚑  АльфачФиолетовый,Oct 02, 2018,0
💊  xVersace,Oct 02, 2018,0
🚬  БитоеШиш,Oct 02, 2018,0
🚑  СКЖелтыйКрис,Oct 02, 2018,0
🚑  АльфачБелый,Oct 02, 2018,0
🚬  Сканк24Т,Oct 02, 2018,0
🚑  СККрасныйКрис,Oct 02, 2018,0
🚬  БитыеШишПлан,Oct 02, 2018,0
⛄  Анфер,Oct 03, 2018,0
🍀  Шишке,Oct 03, 2018,0
🚬  Специи,Oct 03, 2018,0
🚑  Альфач,Oct 03, 2018,0
🚑  ЗеленыйЭльф,Oct 03, 2018,0
🚑  СинийЭльф,Oct 03, 2018,0
🚑  Метс-рац,Oct 03, 2018,0
💊  Кола,Oct 03, 2018,0
💊  Ferrari,Oct 03, 2018,0
⛄  АнфРозовый,Oct 03, 2018,0
🚬  ШишБигДевил,Oct 03, 2018,0
